;-------------------------------------------------,
;経験,
;-------------------------------------------------,
0,Ｖ경험
1,Ａ경험
2,절정경험
3,사정경험
5,성교경험
8,정음절정경험
;,
10,자위경험
11,조교자위경험
;,
20,정액경험
21,봉사쾌락경험
22,펠라경험
23,애정경험
;,
30,피학쾌락경험
31,방뇨경험
32,Ａ쾌락경험
33,가학쾌락경험
34,Ｃ경험
35,Ｂ경험
;,
40,레즈경험
41,ＢＬ경험
;,
50,이상경험
51,긴박경험
52,Ｖ확장경험
53,Ａ확장경험
54,분유경험
55,촉수경험
56,수간경험
57,약물경험
;,
60,출산경험
62,이종임신경험
;,
65,조교실신경험
;,
61,요리경험
70,피사경험
71,가창경험
72,무용경험
73,조교회화경험
74,매춘경험
75,영업애정경험
76,闘技勝利経験
;,
80,전투경험
81,勲章経験
