;-------------------------------------------------,,
;0-9 愛撫系コマンド,,
;-------------------------------------------------,,
0,애무,
1,커널링구스,
2,애널애무,
3,자위,
4,펠라한다,
5,가슴애무,
6,키스한다,
7,조개벌리기,
8,손가락넣기,
9,애널핥기,
;,,
;-------------------------------------------------,,
;10-19 道具使用コマンド,,
;-------------------------------------------------,,
10,진동하는보석,
11,꿀단지웜,
12,진동지팡이,
13,애널웜,
14,클리캡,
15,유두캡,
16,착유기,
17,오나홀,
18,샤워,
19,애널비즈,
;,,
;-------------------------------------------------,,
;20-29 セックス系コマンド,,
;-------------------------------------------------,,
20,정상위,
21,후배위,
22,대면좌위,
23,배면좌위,
24,역강간,
25,역애널강간,
26,정상위애널,
27,후배위애널,
28,대면좌위애널,
29,배면좌위애널,
;,,
;-------------------------------------------------,,
;30-39 奉仕系コマンド,,
;-------------------------------------------------,,
30,수음,
31,펠라치오,
32,파이즈리,
33,가랑이비비기,
34,기승위,
35,거품문지르기,
36,기승위애널,
37,애널봉사,
38,풋잡,
;,,
;-------------------------------------------------,,
;40-49 SM系コマンド,,
;-------------------------------------------------,,
40,스팽킹,
41,채찍,
42,바늘,
43,아이마스크,
44,밧줄,
45,볼개그,
46,관장기＋플러그,
47,본디지착의,
48,풋잡한다,
49,애널전극,
;,,
;-------------------------------------------------,,
;50-59 特殊コマンド,,
;-------------------------------------------------,,
50,로션,
51,미약,
52,이뇨제,
53,수정구,
54,야외플레이,
55,아무것도안한다,
56,회화한다,
57,수치플레이,
58,욕실플레이,
59,새색시플레이,
;,,
;-------------------------------------------------,,
;60-79 助手によるコマンド、及びレズプレイ,,
;-------------------------------------------------,,
60,조수에게키스,
61,커널링구스강제,
62,조수를범한다,
63,조개맞대기,
64,３Ｐ,
65,조수를범하게한다,
66,두개펠라,
68,더블펠라,
;69,식스나인,;フェラ強制orクンニ強制→커널링구스、フェラあるいはその逆で自動発動
;,,
;70,ダブル素股,
71,더블파이즈리,
72,음모를민다,
73,머리손질하기,
;,,
;-------------------------------------------------,,
;80-99 ハードな調教コマンド,,
;-------------------------------------------------,,
80,이라마치오,
81,피스트퍽,
82,애널피스트,
83,양구멍피스트,
;84,Ｇ스팟자극,
85,방뇨,
;86,음뇨,
87,피어싱,
89,수간플레이,
90,ニプルファック,
;,,
;-------------------------------------------------,,
;100-109 触手系コマンド,,
;-------------------------------------------------,,
100,촉수생물,
101,촉수삽입,
102,애널촉수,
103,촉수클리괴롭히기,
104,촉수유두괴롭히기,
105,촉수착유,
106,촉수긴박,
107,촉수관장,
108,촉수구욕,
109,촉수페니스괴롭히기,
;,,
;-------------------------------------------------,,
;110-111 着衣・脱衣関連コマンド,,
;-------------------------------------------------,,
110,옷을착탈,
;111,옷을찢는다,
;,,
;-------------------------------------------------,,
;120- 追加コマンド,,
;-------------------------------------------------,,
;120,삽입Ｇ스팟자극,
;121,삽입자궁구자극,
122,투구맞대기,
;123,파이즈리펠라,
;124,딥스로트,
;125,펠라자위,
;126,수음펠라,
;127,바큠펠라,
;128,정상위・키스,
;129,정상위・가슴애무,
;130,정상위ＳＰ,
;131,후배위・가슴애무,
;132,후배위・스팽킹,
;133,서서후배위,
;134,후배위ＳＰ,
135,셀프쿤니,;デュラハン専用
;,,
;コマンダーパッチによる追加コマンド。主に体格差に関するもの,,
;136,요정오나홀,
;137,Ａ요정오나홀,
;138,전신삽입,
;139,Ａ전신삽입,
;140,혀삽입,;追加派生コマンド
;141,Ａ혀삽입,:追加派生コマンド
;142,전신봉사,;追加派生コマンド
;143,전신봉사자위,;追加派生コマンド
;144,전신봉사펠라,;追加派生コマンド
;フリーコマンド,,
150,フリー調教,
;콜로세움,,
200,콜로세움,
201,조수,
202,최하층민,
203,곰팡내나는개,
204,호걸오크,
205,냄새나는돼지,
206,트롤,
207,미약슬라임,
;208,촉수,
